# x_m,y_m,w_tr_right_m,w_tr_left_m
-86.80109262170993,-627.8186301714776,6.640540225278841,6.640540225278841
-86.24644994858753,-628.2559650741864,6.642497703263445,6.642497703263445
-85.68541563955857,-628.6848062205834,6.629750926907428,6.629750926907428
-85.13049685733037,-629.1218066046478,6.63294484435945,6.63294484435945
-84.57474752225357,-629.5577136441639,6.633411628736058,6.633411628736058
-84.02318354521924,-629.9988818903412,6.637481468301514,6.637481468301514
-83.46717818566597,-630.4344734683505,6.6381722871143545,6.6381722871143545
-82.63754314362484,-631.0891250369602,6.638858909991055,6.638858909991055
-82.35548903493492,-631.3060056766509,6.633815390605744,6.633815390605744
-81.80001512065367,-631.7422718997261,6.635277010309858,6.635277010309858
-81.24402509339103,-632.1778814329598,6.635304621718541,6.635304621718541
-80.69159126864238,-632.6179541343786,6.640234019742444,6.640234019742444
-79.8601939631121,-633.2703856754292,6.640822425088335,6.640822425088335
-79.58002216487174,-633.4897119721218,6.64027910967529,6.64027910967529
-79.02559791495153,-633.9271385695979,6.651519198399245,6.651519198399245
-78.19362421579945,-634.5788241809935,6.652292950937465,6.652292950937465
-77.6395519691437,-635.0168614750654,6.652728741398539,6.652728741398539
-77.08449007592479,-635.4536467333185,6.653409925759442,6.653409925759442
-76.52930939475168,-635.8902865105788,6.654134449345172,6.654134449345172
-76.24858590670286,-636.1088783062726,6.654368338026639,6.654368338026639
-75.4143193334163,-636.7576008670821,6.6537593560667965,6.6537593560667965
-74.85908553595937,-637.1941715056034,6.654557856375553,6.654557856375553
-74.3023816658628,-637.6288332844792,6.65307389454001,6.65307389454001
-73.74430253931462,-638.0617102136903,6.64957673483185,6.64957673483185
-73.18940860637032,-638.4987197325274,6.649849597169208,6.649849597169208
-72.63244514208972,-638.933069580418,6.6515259748384805,6.6515259748384805
-72.07572929671598,-639.3677383114148,6.649994895212426,6.649994895212426
-71.52011891436803,-639.8038429084247,6.65060244646636,6.65060244646636
-70.96845641827784,-640.244811283374,6.645244180295022,6.645244180295022
-70.41669745248264,-640.685690462795,6.642387702359861,6.642387702359861
-69.86120275927027,-641.1219361691126,6.642194039839974,6.642194039839974
-69.30743644672833,-641.5603373961735,6.639837547768062,6.639837547768062
-68.75473161718054,-642.0000474747989,6.634463454711632,6.634463454711632
-68.1992349891445,-642.4362927292067,6.634791123225917,6.634791123225917
-67.64450383591912,-642.8735054862013,6.633079105231717,6.633079105231717
-67.08856045433859,-643.3091049057464,6.6400599351839205,6.6400599351839205
-66.53356237714466,-643.7459745783008,6.63881691628792,6.63881691628792
-65.97872815513627,-644.1830535678878,6.63858202476359,6.63858202476359
-65.42189007958565,-644.6175362921501,6.633258557274934,6.633258557274934
-64.86662295000147,-645.054060655219,6.632033704379577,6.632033704379577
-64.31145811807284,-645.4907171244815,6.630879088348818,6.630879088348818
-63.754031319721435,-645.9244737818625,6.630427680278783,6.630427680278783
-63.19777448393069,-646.3597331839487,6.630588565293271,6.630588565293271
-62.6429782423579,-646.7968542635706,6.630748859427723,6.630748859427723
-62.08850997114091,-647.2343905906057,6.631507775593719,6.631507775593719
-61.53299983495366,-647.6706071308708,6.6303674150332625,6.6303674150332625
-60.9774828292889,-648.1068140533204,6.629527711393581,6.629527711393581
-60.42312098093587,-648.5444860142071,6.630176633060932,6.630176633060932
-59.869196438438216,-648.9826908203427,6.62604066219876,6.62604066219876
-59.31269434479421,-649.4176533559971,6.625883922084702,6.625883922084702
-58.75995288783134,-649.8573561329998,6.623577078946057,6.623577078946057
-58.20461039994571,-650.2937756909797,6.62176298288254,6.62176298288254
-57.64850125339615,-650.7292313811658,6.6204902975380735,6.6204902975380735
-57.09536021216286,-651.1684358144753,6.622280143341345,6.622280143341345
-56.540015216746255,-651.6048563191778,6.620617496739374,6.620617496739374
-55.98408785893402,-652.04053985818,6.619769618422472,6.619769618422472
-55.42881536794192,-652.4770525244115,6.618649882405515,6.618649882405515
-54.87432351216482,-652.9145437396114,6.615406301210913,6.615406301210913
-54.317964735833,-653.3496806971395,6.614360362559575,6.614360362559575
-53.76333816319852,-653.7870122374842,6.615424945825999,6.615424945825999
-53.20930181967527,-654.2250846043373,6.612956678644625,6.612956678644625
-52.65311547194631,-654.660440518766,6.612242551188113,6.612242551188113
-52.0970723369327,-655.0959791113152,6.611611862771611,6.611611862771611
-51.54560190321184,-655.537281745196,6.611130395189775,6.611130395189775
-50.98971413219178,-655.9730262943672,6.610787619409798,6.610787619409798
-50.432321509575395,-656.4068150905034,6.607377147480167,6.607377147480167
-49.87733705140022,-656.8436966663336,6.6058220356027535,6.6058220356027535
-49.32172692612838,-657.2797843665869,6.605331750019392,6.605331750019392
-48.76608265609008,-657.7158309709962,6.604354671351991,6.604354671351991
-47.93961136329646,-658.374448944636,6.605761636930913,6.605761636930913
-47.659465081413444,-658.5937959171353,6.60261520795606,6.60261520795606
-46.82999415567517,-659.2486397597174,6.602432622825964,6.602432622825964
-46.2758627895991,-659.6865840819605,6.600081680564582,6.600081680564582
-45.9960396212976,-659.9063405865604,6.598312135798165,6.598312135798165
-45.44026209322281,-660.3422154753359,6.598546616006428,6.598546616006428
-44.61356040070024,-661.000452712718,6.592798324551866,6.592798324551866
-44.333620625542665,-661.2200605221067,6.591699894600707,6.591699894600707
-43.77661726736666,-661.6543833922635,6.592847344686546,6.592847344686546
-42.94554928194642,-662.3070366075166,6.583146387730216,6.583146387730216
-42.665708927401745,-662.5267787482127,6.5830722866758835,6.5830722866758835
-42.108420721039295,-662.9607363705906,6.585244013051895,6.585244013051895
-41.55114961813583,-663.394696430664,6.585491779302819,6.585491779302819
-40.99418624747045,-663.8290551693307,6.586807704038411,6.586807704038411
-40.437136973438506,-664.2633018921331,6.588665580379929,6.588665580379929
-39.60314320546313,-664.9123602076511,6.586424622385738,6.586424622385738
-39.048529115000406,-665.349684681494,6.585360958590601,6.585360958590601
-38.76938652069457,-665.5703058743281,6.58841095929809,6.58841095929809
-37.93440240421168,-666.2181334240756,6.58856344530966,6.58856344530966
-37.38001946016841,-666.6557680914907,6.591248834961407,6.591248834961407
-36.82505836716092,-667.0926511660596,6.596504330533482,6.596504330533482
-36.26974882395676,-667.5290945914653,6.601462840997676,6.601462840997676
-35.71620044609719,-667.9677832186234,6.604711447209205,6.604711447209205
-35.16158368254753,-668.405090114545,6.61102343366484,6.61102343366484
-34.60672009885928,-668.8420848664707,6.617149399507678,6.617149399507678
-34.052851386716576,-669.280352960322,6.622191135491539,6.622191135491539
-33.498692259625926,-669.7182316222085,6.6289654681725505,6.6289654681725505
-32.943714351910714,-670.1550835255373,6.634754254842577,6.634754254842577
-32.38988372851087,-670.5934148694196,6.635438189525514,6.635438189525514
-31.836802814460018,-671.0326764500409,6.642053869840422,6.642053869840422
-31.279116287896453,-671.4660938588088,6.641935233815682,6.641935233815682
-30.726402280169005,-671.9058305614687,6.643336041681136,6.643336041681136
-30.17285039408295,-672.3445080434758,6.647135123523423,6.647135123523423
-29.616487889833913,-672.7796260762748,6.648261668736326,6.648261668736326
-29.06225532010606,-673.2174514221665,6.650241194469318,6.650241194469318
-28.508610014822146,-673.6560252321666,6.652214851160287,6.652214851160287
-27.952735487172525,-674.0917689708049,6.654664467294907,6.654664467294907
-27.397751148155592,-674.5286509254514,6.655091154742108,6.655091154742108
-26.84254891182931,-674.965251536107,6.657762841370915,6.657762841370915
-26.286779754779218,-675.4011327673715,6.66037580077174,6.66037580077174
-25.732693549369117,-675.839151126266,6.659479947593142,6.659479947593142
-25.177363505681964,-676.2755901120697,6.6614065729850305,6.6614065729850305
-24.621026133023644,-676.7107379201184,6.662357800785559,6.662357800785559
-24.064437275877687,-677.145510452873,6.656668196931986,6.656668196931986
-23.509679662705175,-677.5826854761765,6.657575766877454,6.657575766877454
-22.954219892026437,-678.0189659246764,6.658389458222349,6.658389458222349
-22.39798967443762,-678.4542541932761,6.655891129810418,6.655891129810418
-21.84298539016841,-678.891110134843,6.655699826681792,6.655699826681792
-21.288047977942544,-679.3280688465765,6.656526451323123,6.656526451323123
-20.727831572921293,-679.7581404919237,6.649007563693549,6.649007563693549
-20.17287879964706,-680.195079286727,6.650463040638538,6.650463040638538
-19.616895405081408,-680.6306970716743,6.650159841977526,6.650159841977526
-19.065323147365163,-681.0718503638191,6.6543269633067315,6.6543269633067315
-18.510514236926568,-681.5089498165437,6.65223025120445,6.65223025120445
-17.955297483399875,-681.9455531500557,6.653088408506165,6.653088408506165
-17.39643958588704,-682.3773721778632,6.645176912816512,6.645176912816512
-16.842483766384383,-682.8155370707259,6.641897293489651,6.641897293489651
-16.28639622793755,-683.2510166182569,6.6410917416314375,6.6410917416314375
-15.732065017945718,-683.6887157033325,6.640454156412868,6.640454156412868
-15.179014506963227,-684.1279970052137,6.635396803057708,6.635396803057708
-14.623209849026694,-684.563844742208,6.634865933528714,6.634865933528714
-14.067570389989612,-684.9998923145364,6.633169325998826,6.633169325998826
-13.512725424942364,-685.4369462843113,6.630800058241209,6.630800058241209
-12.956709051755997,-685.8725181149442,6.629355542822188,6.629355542822188
-12.402623295252207,-686.3105323380887,6.630291774861604,6.630291774861604
-11.848605359454272,-686.7486249686443,6.62797659177711,6.62797659177711
-11.29234868100108,-687.1838913036544,6.6267971349406665,6.6267971349406665
-10.736667139529445,-687.6198839384585,6.626380622301855,6.626380622301855
-10.183668859347486,-688.0592695134766,6.62590667791242,6.62590667791242
-9.62731314268443,-688.4944066715897,6.623966061388432,6.623966061388432
-8.796741177552587,-689.1478623156574,6.622093407644711,6.622093407644711
-8.516618437741638,-689.3672357697086,6.620042308663463,6.620042308663463
-7.960264212639057,-689.8023691261134,6.617653968866646,6.617653968866646
-7.130545728490706,-690.4569204389786,6.617947834038596,6.617947834038596
-6.849667336287767,-690.6753280195478,6.615522796499359,6.615522796499359
-6.293349136849083,-691.1105092106948,6.614425951020342,6.614425951020342
-5.461071899578347,-691.7618005994145,6.613078568747341,6.613078568747341
-5.182889676917019,-691.9836217723213,6.615854374046397,6.615854374046397
-4.625840099250652,-692.4178698604208,6.614216521048375,6.614216521048375
-3.794757174571981,-693.0706389311131,6.610325247488703,6.610325247488703
-3.514048931059553,-693.289263768361,6.609883560566528,6.609883560566528
-2.956046420574779,-693.7222947545631,6.611164018710559,6.611164018710559
-2.12356494606008,-694.3733100219692,6.609346332225395,6.609346332225395
-1.8412058676227556,-694.5897975614755,6.607059620248631,6.607059620248631
-1.2829818406749218,-695.0225447164227,6.608528464385275,6.608528464385275
-0.4529168037796123,-695.6765729877977,6.609838694166324,6.609838694166324
-0.17329921857139707,-695.8965717222343,6.612857606470382,6.612857606470382
0.3854959076870472,-696.3285757187823,6.615070566868488,6.615070566868488
